index,prob,rank,percentile
112721,0.982546224,1,0.000166667
519808,0.97110251,2,0.000333333
14258,0.96941074,3,5.00E-04
94930,0.968439613,4,0.000666667
530910,0.965306554,5,0.000833333
369446,0.963502059,6,0.001
512220,0.962170132,7,0.001166667
47307,0.961649799,8,0.001333333
227682,0.957902534,9,0.0015
173084,0.957884679,10,0.001666667
171488,0.956353715,11,0.001833333
285140,0.956163829,12,0.002
550876,0.955583185,13,0.002166667
139770,0.952882326,14,0.002333333
156393,0.951830735,15,0.0025
71656,0.951620184,16,0.002666667
361391,0.949160469,17,0.002833333
461231,0.946173621,18,0.003
164778,0.945746204,19,0.003166667
476411,0.945692118,20,0.003333333
555270,0.945247678,21,0.0035
425124,0.945207562,22,0.003666667
331306,0.944578576,23,0.003833333
134402,0.94205685,24,0.004
252879,0.942012976,25,0.004166667
322882,0.939880171,26,0.004333333
318059,0.939532527,27,0.0045
457255,0.938458431,28,0.004666667
187150,0.938418669,29,0.004833333
200615,0.937281959,30,0.005
275017,0.937254338,31,0.005166667
275894,0.936955504,32,0.005333333
572334,0.936555909,33,0.0055
128802,0.935267485,34,0.005666667
303171,0.932478447,35,0.005833333
554333,0.931463505,36,0.006
299846,0.930883391,37,0.006166667
38548,0.930804506,38,0.006333333
373417,0.930687801,39,0.0065
106764,0.930466432,40,0.006666667
2203,0.930187383,41,0.006833333
507142,0.929392932,42,0.007
453637,0.928788643,43,0.007166667
415255,0.927839081,44,0.007333333
358625,0.926723755,45,0.0075
587479,0.926685765,46,0.007666667
64709,0.926076451,47,0.007833333
22685,0.925818351,48,0.008
539323,0.924191081,49,0.008166667
510912,0.924151023,50,0.008333333
483469,0.923686993,51,0.0085
149042,0.923221466,52,0.008666667
109672,0.922003388,53,0.008833333
118939,0.919800259,54,0.009
294408,0.919551901,55,0.009166667
507610,0.918918325,56,0.009333333
495749,0.918873896,57,0.0095
368281,0.918708931,58,0.009666667
560812,0.918619579,59,0.009833333
23883,0.91692621,60,0.01
197684,0.916790497,61,0.010166667
184836,0.915816719,62,0.010333333
340521,0.91451377,63,0.0105
403733,0.91449971,64,0.010666667
557520,0.912067603,65,0.010833333
420229,0.911177588,66,0.011
112018,0.911012819,67,0.011166667
164789,0.910292488,68,0.011333333
150184,0.909451679,69,0.0115
525328,0.908807216,70,0.011666667
456493,0.906050056,71,0.011833333
342776,0.904734365,72,0.012
342690,0.904650787,73,0.012166667
461121,0.902419557,74,0.012333333
593159,0.902205208,75,0.0125
474345,0.901305306,76,0.012666667
79457,0.900326675,77,0.012833333
377695,0.900028285,78,0.013
527633,0.899723311,79,0.013166667
355133,0.899532056,80,0.013333333
423309,0.899481761,81,0.0135
561109,0.899392131,82,0.013666667
526044,0.899305397,83,0.013833333
116719,0.899286211,84,0.014
489421,0.899148643,85,0.014166667
231542,0.898344472,86,0.014333333
123864,0.897380257,87,0.0145
157661,0.896532479,88,0.014666667
283804,0.896085975,89,0.014833333
5037,0.895950884,90,0.015
364753,0.895630199,91,0.015166667
133040,0.895600223,92,0.015333333
88386,0.895297474,93,0.0155
479947,0.894562054,94,0.015666667
250801,0.892458106,95,0.015833333
115929,0.891976734,96,0.016
590892,0.891888981,97,0.016166667
54771,0.891037056,98,0.016333333
195647,0.890372058,99,0.0165
558838,0.888988371,100,0.016666667
417665,0.888556161,101,0.016833333
438868,0.887133453,102,0.017
161035,0.886853547,103,0.017166667
488211,0.885570998,104,0.017333333
186469,0.885538305,105,0.0175
291628,0.885410916,106,0.017666667
199165,0.884954319,107,0.017833333
538237,0.884642797,108,0.018
348600,0.883955592,109,0.018166667
82611,0.882360534,110,0.018333333
303413,0.881942334,111,0.0185
488514,0.880751013,112,0.018666667
187935,0.880535774,113,0.018833333
555899,0.878570686,114,0.019
179444,0.878388551,115,0.019166667
264102,0.878121893,116,0.019333333
78724,0.877494543,117,0.0195
6287,0.876849199,118,0.019666667
138808,0.875625649,119,0.019833333
184799,0.875333615,120,0.02
371203,0.875212361,121,0.020166667
123458,0.874274589,122,0.020333333
30627,0.873108936,123,0.0205
142699,0.872071366,124,0.020666667
71307,0.870566647,125,0.020833333
239524,0.870433849,126,0.021
168902,0.869345504,127,0.021166667
476097,0.869243543,128,0.021333333
589697,0.869162259,129,0.0215
196606,0.868711724,130,0.021666667
14812,0.868359401,131,0.021833333
53526,0.866311072,132,0.022
596636,0.86618204,133,0.022166667
402463,0.866159388,134,0.022333333
113464,0.86615834,135,0.0225
343357,0.863552231,136,0.022666667
215953,0.862691741,137,0.022833333
104195,0.859636773,138,0.023
374889,0.859563021,139,0.023166667
531902,0.858458482,140,0.023333333
296592,0.858309271,141,0.0235
228692,0.85830551,142,0.023666667
324589,0.857598201,143,0.023833333
162167,0.857248857,144,0.024
316182,0.857121297,145,0.024166667
408838,0.856862724,146,0.024333333
11277,0.856559631,147,0.0245
348691,0.856502666,148,0.024666667
498285,0.85620385,149,0.024833333
276622,0.856154495,150,0.025
5663,0.855794592,151,0.025166667
522218,0.854160928,152,0.025333333
55164,0.853873539,153,0.0255
335395,0.853559664,154,0.025666667
358219,0.852815406,155,0.025833333
251828,0.852379291,156,0.026
458905,0.852120787,157,0.026166667
361455,0.851932551,158,0.026333333
556090,0.851675557,159,0.0265
423957,0.851419888,160,0.026666667
157881,0.850140832,161,0.026833333
62738,0.849962776,162,0.027
87816,0.849727895,163,0.027166667
587792,0.848365126,164,0.027333333
598757,0.848337979,165,0.0275
113776,0.848254366,166,0.027666667
121817,0.84809108,167,0.027833333
544612,0.847884646,168,0.028
410660,0.84754224,169,0.028166667
109741,0.847537507,170,0.028333333
231535,0.846983884,171,0.0285
578249,0.846339456,172,0.028666667
381996,0.846056196,173,0.028833333
336962,0.84456862,174,0.029
243937,0.844090297,175,0.029166667
551761,0.844079629,176,0.029333333
587721,0.844000288,177,0.0295
